SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_4,vaccine_ID,vaccine_efficacy_mean,vaccine_efficacy_serotype,vaccine_efficacy_serostatus
sim_0,4527702,4527702,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_0.csv,-1,routine,0.2509765625,4,0.40361328125,0.022705078125,0.134326171875
sim_1,777255437,777255437,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_1.csv,-1,routine,0.7509765625,4,0.75361328125,0.097705078125,0.059326171875
sim_2,1163619304,1163619304,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_2.csv,-1,routine,0.0009765625,4,0.57861328125,0.060205078125,0.021826171875
sim_3,390891569,390891569,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_3.csv,-1,routine,0.5009765625,4,0.22861328125,0.135205078125,0.096826171875
sim_4,584073503,584073503,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_4.csv,-1,routine,0.1259765625,4,0.84111328125,0.003955078125,0.003076171875
sim_5,1356801237,1356801237,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_5.csv,-1,routine,0.6259765625,4,0.49111328125,0.078955078125,0.078076171875
sim_6,970437370,970437370,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_6.csv,-1,routine,0.3759765625,4,0.31611328125,0.041455078125,0.115576171875
sim_7,197709636,197709636,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_7.csv,-1,routine,0.8759765625,4,0.66611328125,0.116455078125,0.040576171875
sim_8,294300603,294300603,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_8.csv,-1,routine,0.0634765625,4,0.18486328125,0.088330078125,0.068701171875
sim_9,1067028337,1067028337,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_9.csv,-1,routine,0.5634765625,4,0.53486328125,0.013330078125,0.143701171875
